SubjectName,trialType,sex,age,total_completion_time,total_search_time,total_dwell_time,pathLength,avgSpeed,avgAcceleration,avgMeanSqJerk,total_error_time,total_num_errors
08,C,F,20,22.4327392161974,18.2161397161974,4.1659995,279.625820800927,17.7576073387999,15.1542003705934,3752532488.85919,3.93669,1
09,C,M,21,15.9600369874014,12.2227312874014,3.6704157,270.685430560027,22.173615333583,28.6719175191078,32891319442.9423,2.06836,1
10,C,F,31,23.1160926530346,17.8998416530346,4.93255100000001,245.126161424688,13.9965844145974,1.02794215264907,4990854354.5756,2.0694,1
11,C,F,25,14.0948055094131,9.14169050941307,4.734365,221.981970685146,22.9371115307927,43.4221314373021,4246671888.28274,0,0
12,C,M,25,17.1622593223129,12.8231749223129,4.2557844,231.502582591768,25.9046319096888,25.179653145826,3471904676.13226,0,0
15,C,F,30,18.7283777969178,13.5165407969178,5.111037,215.705770124118,15.4248863532322,35.8121232443025,3847483885.28143,0,0
17,C,F,18,21.0989809931109,12.9652555931109,7.8839454,236.119503706944,16.3073101713669,6.2966748657251,39177810432.9467,0,0
19,C,F,35,20.9474059506419,18.4493729506419,2.397843,321.826153599505,28.7903846909211,55.3984581728513,16335424669.0806,7.907007,2
21,C,M,23,30.5371841117069,21.7032171117069,8.567367,272.343543731663,12.014114397792,12.9952349366465,3007056510.71818,2.93555,1
22,C,F,52,16.9455110240225,11.1140721240224,5.7483089,253.888985210642,21.3175108208039,6.20624632916328,6019680493.72804,1.837769,1
24,C,M,33,14.5777789478279,11.7587126478278,2.7856763,287.358844645495,26.9229668243283,57.3036367024005,10105982968.9615,1.48649,1
08,D,F,20,31.5554673975295,23.7986473975295,7.58964,313.465679649017,14.2388060258306,8.52005209838791,874582045.720574,0.584009999999999,1
09,D,M,21,32.9224446633517,24.5161760633517,8.2710086,326.353839483793,20.3526359565466,16.0784868624407,4466717945.54374,1.31836,1
10,D,F,31,78.1022810401687,52.8889780401688,25.145893,353.690356381598,9.60997010611835,4.70413027744402,910230941.429548,1.85,1
11,D,F,25,44.688560820522,29.751055820522,14.906255,356.510261194988,19.2726481478397,21.7398584614986,14962870268.2636,1.875,2
12,D,M,25,44.579967666436,27.783286866436,15.2973508,393.129603400569,17.6925972569144,10.4371264635929,27141683854.2297,6.13818,2
15,D,F,30,42.6171426688,29.9626508688,11.8799818,318.619775755805,11.3049395437396,21.6751965151122,1407388688.6126,0,0
17,D,F,18,28.9703819792613,18.0551301792613,10.5826418,301.066049008956,16.2388547848338,-3.76876336365961,35012537494.8119,0.834109999999999,1
19,D,F,35,42.5779877164297,25.1344297164297,17.260268,333.372151152223,17.5295704240913,12.260888333223,6633503426.3742,5.50421,1
21,D,M,23,51.5681931261656,39.3245579261656,11.3749852,392.619653117803,10.5028433186202,8.07969277328643,8069028176.02487,5.354,1
22,D,F,52,26.3045200083262,12.8649530083262,13.189567,282.58258675959,19.6673474049126,10.7087779392101,2663586421.74903,0,0
24,D,M,33,53.452895096526,33.441825096526,19.96087,381.067137056797,15.1737181513985,13.3205163034128,22822163597.8425,3.25501000000001,3
